 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
1050,343,255,255,255,0.934,1.080,0.926,0.950
1051,429,255,255,255,0.853,1.070,0.935,0.940
1052,349,255,255,255,0.870,1.216,0.822,0.925
1053,199,255,255,255,0.776,1.342,0.745,0.791
1054,465,255,255,255,0.903,1.279,0.782,0.948
1055,429,255,255,255,0.871,1.289,0.776,0.936
1056,328,255,255,255,0.915,1.128,0.886,0.945
1057,390,255,255,255,0.899,1.212,0.825,0.945
1058,411,255,255,255,0.898,1.122,0.891,0.944
1059,473,255,255,255,0.882,1.178,0.849,0.941
1060,193,255,255,255,0.735,1.348,0.742,0.769
1061,338,255,255,255,0.877,1.393,0.718,0.940
1062,349,255,255,255,0.815,1.094,0.914,0.915
1063,397,255,255,255,0.901,1.100,0.909,0.940
1064,392,255,255,255,0.903,1.047,0.955,0.938
1065,339,255,255,255,0.932,1.050,0.952,0.947
1066,447,255,255,255,0.894,1.206,0.830,0.942
1067,355,255,255,255,0.943,1.146,0.873,0.953
1068,338,255,255,255,0.936,1.273,0.786,0.958
1069,352,255,255,255,0.877,1.390,0.720,0.936
1070,357,255,255,255,0.942,1.127,0.887,0.948
1071,380,255,255,255,0.896,1.254,0.797,0.935
1072,297,255,255,255,0.920,1.267,0.789,0.953
1073,334,255,255,255,0.896,1.213,0.825,0.930
1074,320,255,255,255,0.925,1.157,0.864,0.948
1075,477,255,255,255,0.890,1.176,0.850,0.945
1076,332,255,255,255,0.522,1.122,0.891,0.695
1077,393,255,255,255,0.920,1.095,0.914,0.936
1078,337,255,255,255,0.889,1.223,0.818,0.930
1079,399,255,255,255,0.956,1.146,0.873,0.957
1080,318,255,255,255,0.875,1.414,0.707,0.935
1081,360,255,255,255,0.925,1.121,0.892,0.954
1082,368,255,255,255,0.896,1.365,0.733,0.939
1083,366,255,255,255,0.934,1.173,0.853,0.954
1084,339,255,255,255,0.894,1.204,0.831,0.934
1085,402,255,255,255,0.829,1.188,0.842,0.924
1086,463,255,255,255,0.926,1.108,0.903,0.949
1087,458,255,255,255,0.942,1.204,0.830,0.964
1088,377,255,255,255,0.915,1.105,0.905,0.947
1089,303,255,255,255,0.941,1.043,0.959,0.938
1090,418,255,255,255,0.894,1.115,0.897,0.933
1091,441,255,255,255,0.895,1.273,0.785,0.943
1092,445,255,255,255,0.917,1.132,0.883,0.950
1093,425,255,255,255,0.937,1.149,0.870,0.947
1094,317,255,255,255,0.903,1.324,0.756,0.935
1095,404,255,255,255,0.883,1.096,0.912,0.940
1096,458,255,255,255,0.911,1.116,0.896,0.939
1097,350,255,255,255,0.923,1.102,0.907,0.938
1098,432,255,255,255,0.890,1.031,0.970,0.935
1099,385,255,255,255,0.908,1.243,0.805,0.941
1100,470,255,255,255,0.902,1.215,0.823,0.940
1101,360,255,255,255,0.912,1.077,0.928,0.934
1102,333,255,255,255,0.932,1.071,0.934,0.942
1103,377,255,255,255,0.903,1.171,0.854,0.943
1104,359,255,255,255,0.938,1.252,0.799,0.956
1105,384,255,255,255,0.935,1.169,0.855,0.945
1106,431,255,255,255,0.797,1.636,0.611,0.893
1107,392,255,255,255,0.875,1.139,0.878,0.928
1108,330,255,255,255,0.921,1.091,0.916,0.950
1109,385,255,255,255,0.873,1.175,0.851,0.933
1110,380,255,255,255,0.890,1.022,0.978,0.931
1111,345,255,255,255,0.926,1.081,0.925,0.939
1112,473,255,255,255,0.927,1.057,0.946,0.949
1113,413,255,255,255,0.916,1.184,0.844,0.946
1114,409,255,255,255,0.848,1.492,0.670,0.930
1115,164,255,255,255,0.597,1.428,0.700,0.643
1116,143,255,255,255,0.586,1.395,0.717,0.603
1117,400,255,255,255,0.872,1.367,0.732,0.945
1118,359,255,255,255,0.675,1.101,0.909,0.743
1119,401,255,255,255,0.910,1.297,0.771,0.949
1120,338,255,255,255,0.923,1.201,0.833,0.939
1121,374,255,255,255,0.896,1.175,0.851,0.943
1122,441,255,255,255,0.915,1.244,0.804,0.947
1123,413,255,255,255,0.897,1.223,0.818,0.935
1124,331,255,255,255,0.926,1.178,0.849,0.939
1125,441,255,255,255,0.909,1.164,0.859,0.944
1126,343,255,255,255,0.911,1.186,0.843,0.941
1127,271,255,255,255,0.905,1.195,0.837,0.928
1128,378,255,255,255,0.891,1.218,0.821,0.932
1129,350,255,255,255,0.887,1.119,0.894,0.933
1130,377,255,255,255,0.909,1.156,0.865,0.944
1131,427,255,255,255,0.893,1.206,0.829,0.933
1132,286,255,255,255,0.912,1.187,0.843,0.935
1133,416,255,255,255,0.876,1.216,0.822,0.928
1134,439,255,255,255,0.910,1.190,0.840,0.947
1135,424,255,255,255,0.926,1.046,0.956,0.943
1136,445,255,255,255,0.904,1.076,0.930,0.944
1137,295,255,255,255,0.914,1.051,0.952,0.944
1138,316,255,255,255,0.954,1.067,0.937,0.956
1139,468,255,255,255,0.904,1.385,0.722,0.946
1140,411,255,255,255,0.884,1.141,0.876,0.943
1141,291,255,255,255,0.928,1.235,0.809,0.942
1142,367,255,255,255,0.894,1.099,0.910,0.933
1143,386,255,255,255,0.904,1.193,0.838,0.939
1144,380,255,255,255,0.941,1.135,0.881,0.948
1145,423,255,255,255,0.891,1.298,0.770,0.943
1146,450,255,255,255,0.887,1.181,0.847,0.943
1147,424,255,255,255,0.868,1.265,0.791,0.939
1148,437,255,255,255,0.893,1.344,0.744,0.947
1149,357,255,255,255,0.926,1.084,0.923,0.946
1150,417,255,255,255,0.917,1.106,0.904,0.946
1151,413,255,255,255,0.916,1.170,0.855,0.942
1152,381,255,255,255,0.934,1.108,0.902,0.948
1153,426,255,255,255,0.884,1.342,0.745,0.936
1154,430,255,255,255,0.905,1.095,0.913,0.939
1155,419,255,255,255,0.924,1.154,0.867,0.946
1156,444,255,255,255,0.888,1.277,0.783,0.941
1157,420,255,255,255,0.926,1.215,0.823,0.943
1158,496,255,255,255,0.912,1.245,0.803,0.958
1159,371,255,255,255,0.909,1.139,0.878,0.938
1160,348,255,255,255,0.941,1.082,0.924,0.947
1161,420,255,255,255,0.797,1.183,0.845,0.918
1162,383,255,255,255,0.924,1.238,0.808,0.949
1163,304,255,255,255,0.604,1.618,0.618,0.689
1164,356,255,255,255,0.908,1.360,0.736,0.947
1165,371,255,255,255,0.925,1.161,0.862,0.944
1166,500,255,255,255,0.933,1.044,0.958,0.952
1167,371,255,255,255,0.940,1.120,0.893,0.948
1168,370,255,255,255,0.937,1.138,0.879,0.946
1169,484,255,255,255,0.921,1.134,0.882,0.951
1170,369,255,255,255,0.745,1.337,0.748,0.897
1171,351,255,255,255,0.911,1.081,0.925,0.939
1172,413,255,255,255,0.788,1.559,0.641,0.926
1173,369,255,255,255,0.898,1.232,0.812,0.935
1174,456,255,255,255,0.918,1.154,0.866,0.952
1175,379,255,255,255,0.923,1.157,0.864,0.946
1176,355,255,255,255,0.960,1.125,0.889,0.958
1177,438,255,255,255,0.853,1.515,0.660,0.932
1178,488,255,255,255,0.923,1.146,0.873,0.948
1179,367,255,255,255,0.865,1.608,0.622,0.945
1180,415,255,255,255,0.907,1.355,0.738,0.950
1181,400,255,255,255,0.850,1.580,0.633,0.930
1182,457,255,255,255,0.526,1.393,0.718,0.589
1183,471,255,255,255,0.915,1.054,0.949,0.948
1184,380,255,255,255,0.876,1.307,0.765,0.946
1185,465,255,255,255,0.903,1.035,0.966,0.939
1186,392,255,255,255,0.856,1.301,0.769,0.939
1187,441,255,255,255,0.909,1.120,0.893,0.938
1188,443,255,255,255,0.947,1.097,0.911,0.952
1189,428,255,255,255,0.864,1.417,0.706,0.932
1190,358,255,255,255,0.922,1.140,0.877,0.943
1191,381,255,255,255,0.928,1.133,0.883,0.945
1192,419,255,255,255,0.840,1.145,0.873,0.923
1193,347,255,255,255,0.894,1.114,0.898,0.930
1194,477,255,255,255,0.900,1.210,0.826,0.949
1195,420,255,255,255,0.918,1.095,0.914,0.950
1196,389,255,255,255,0.917,1.228,0.814,0.945
1197,451,255,255,255,0.889,1.205,0.830,0.947
1198,387,255,255,255,0.906,1.258,0.795,0.938
1199,426,255,255,255,0.911,1.132,0.883,0.937
1200,414,255,255,255,0.919,1.152,0.868,0.944
1201,359,255,255,255,0.901,1.123,0.891,0.947
1202,435,255,255,255,0.916,1.076,0.929,0.942
1203,425,255,255,255,0.895,1.234,0.811,0.938
1204,405,255,255,255,0.853,1.357,0.737,0.932
1205,343,255,255,255,0.890,1.285,0.778,0.944
1206,429,255,255,255,0.929,1.096,0.913,0.954
1207,406,255,255,255,0.927,1.224,0.817,0.956
1208,403,255,255,255,0.894,1.151,0.869,0.932
1209,482,255,255,255,0.845,1.288,0.777,0.927
1210,447,255,255,255,0.871,1.279,0.782,0.934
1211,421,255,255,255,0.886,1.277,0.783,0.933
1212,397,255,255,255,0.942,1.038,0.964,0.954
1213,480,255,255,255,0.843,1.055,0.948,0.916
1214,281,255,255,255,0.931,1.110,0.901,0.938
1215,436,255,255,255,0.867,1.174,0.852,0.931
1216,433,255,255,255,0.926,1.084,0.922,0.944
1217,472,255,255,255,0.856,1.060,0.943,0.935
1218,376,255,255,255,0.864,1.258,0.795,0.935
1219,427,255,255,255,0.899,1.097,0.912,0.937
1220,461,255,255,255,0.922,1.136,0.880,0.949
1221,453,255,255,255,0.888,1.050,0.952,0.942
1222,418,255,255,255,0.899,1.216,0.822,0.946
1223,381,255,255,255,0.898,1.193,0.839,0.935
1224,303,255,255,255,0.876,1.473,0.679,0.948
1225,258,255,255,255,0.902,1.493,0.670,0.945
1226,435,255,255,255,0.936,1.152,0.868,0.953
1227,217,255,255,255,0.796,1.154,0.867,0.807
1228,394,255,255,255,0.908,1.199,0.834,0.938
1229,418,255,255,255,0.894,1.179,0.849,0.933
1230,457,255,255,255,0.928,1.227,0.815,0.945
1231,385,255,255,255,0.944,1.015,0.985,0.953
1232,355,255,255,255,0.837,1.665,0.600,0.943
1233,313,255,255,255,0.891,1.049,0.953,0.926
1234,409,255,255,255,0.922,1.119,0.894,0.945
1235,419,255,255,255,0.864,1.221,0.819,0.939
1236,445,255,255,255,0.909,1.222,0.819,0.945
1237,494,255,255,255,0.921,1.247,0.802,0.952
1238,261,255,255,255,0.923,1.094,0.914,0.922
1239,410,255,255,255,0.709,1.382,0.724,0.761
1240,447,255,255,255,0.889,1.238,0.808,0.938
1241,327,255,255,255,0.884,1.224,0.817,0.934
